country_text_id,year,global_exposure_polyarchy,global_exposure_libdem,pagerank,n_backsliding_neighbors
IDN,1988,-0.005957437755963627,,0.006945973378562552,7
IND,1988,-0.005957437755963627,,0.00884131527737962,7
IRL,1988,-0.005879841947292474,,0.008621756519016992,7
IRN,1988,-0.005766184623061186,,0.0030847279500393733,7
IRQ,1988,-0.005957437755963627,,0.008563979017927112,7
ISL,1988,-0.005897085460330508,,0.008621756519016992,7
ISR,1988,-0.005922528790892207,,0.004363620633927567,7
ITA,1988,-0.0059481442756804505,,0.009293480283176989,7
JAM,1988,-0.005957437755963627,,0.006992714530661113,7
JOR,1988,-0.005957437755963627,,0.007824586051348139,7
JPN,1988,-0.00596284412639206,,0.00270318521421663,7
KEN,1988,-0.005957437755963627,,0.0035348597905870954,7
KHM,1988,-0.005957437755963627,,0.00352059097576778,7
KOR,1988,-0.005819188650783619,,0.0020330750761765833,7
KWT,1988,-0.005957437755963627,,0.007027865206011046,7
LAO,1988,-0.005952758211061759,,0.004679544901867621,7
LBN,1988,-0.005957437755963627,,0.007824586051348139,7
LBR,1988,-0.0059502378813215875,,0.007199874642040166,7
LBY,1988,-0.005957437755963627,,0.009871642307692614,7
LKA,1988,-0.005968475323737603,,0.0018395946289959141,7
LSO,1988,-0.00594184508391169,,0.0019490840064920962,7
LUX,1988,-0.005957437755963627,,0.008929785833838716,7
MAR,1988,-0.00592824104743069,,0.007299177133234257,7
MDG,1988,-0.005951411642806614,,0.0010043521928356212,7
MDV,1988,-0.005957437755963627,,0.0016824648157609942,7
MEX,1988,-0.005922474183310321,,0.006992714530661113,7
MLI,1988,-0.0059349870640342224,,0.007483563976468214,7
MLT,1988,-0.005394693999985329,,0.008932440571084112,7
MMR,1988,-0.005957437755963627,,0.005723958327691396,7
MNG,1988,-0.005957437755963627,,0.0020330750761765833,7
MOZ,1988,-0.005949815192540224,,0.007622563423402709,7
MRT,1988,-0.00586942001776602,,0.012573962599658164,7
MUS,1988,-0.005956433403770792,,0.0010043521928356212,7
MWI,1988,-0.005957437755963627,,0.0031853810975256414,7
MYS,1988,-0.006001954157482634,,0.004451640151900702,6
NAM,1988,-0.005948684403353099,,0.004376676305263883,7
NER,1988,-0.005932066983212484,,0.00845692425038091,7
NGA,1988,-0.005957437755963627,,0.007184491471052167,7
NIC,1988,-0.005964430470494288,,0.006992714530661113,7
NLD,1988,-0.005957437755963627,,0.008929785833838716,7
NOR,1988,-0.005957437755963627,,0.008621756519016992,7
NPL,1988,-0.005957437755963627,,0.002517707251921287,7
NZL,1988,-0.0059552068970984365,,0.0022308588651906067,7
OMN,1988,-0.005957437755963627,,0.007027865206011046,7
PAK,1988,-0.005957437755963627,,0.0049923809484993704,7
PAN,1988,-0.005957437755963627,,0.006992714530661113,7
PER,1988,-0.005957437755963627,,0.006992714530661113,7
PHL,1988,-0.004667619447875412,,0.006580705653511303,7
PNG,1988,-0.006008919494124545,,0.005148173816091731,6
POL,1988,-0.005975297327631305,,0.008929785833838716,7
PRK,1988,-0.005963464194565503,,0.003013219300938147,7
PRT,1988,-0.005922950729887559,,0.008621756519016992,7
PRY,1988,-0.005943452326902305,,0.006992714530661113,7
PSE,1988,-0.00596145516473497,,0.0010043521928356212,7
QAT,1988,-0.005957437755963627,,0.00729413527985367,7
ROU,1988,-0.005957437755963627,,0.008985397929244127,7
RUS,1988,-0.0054451668007314885,,0.01897299834193108,7
RWA,1988,-0.005957437755963627,,0.003915220999414529,7
SAU,1988,-0.005957437755963627,,0.008422222826346226,7
SDN,1988,-0.005496591213623443,,0.011521163558504615,7
SEN,1988,-0.005957437755963627,,0.006802255351678395,7
SGP,1988,-0.005942492420635086,,0.003736333832135172,7
SLB,1988,-0.005957437755963627,,0.0020985252227886646,7
SLE,1988,-0.005957437755963627,,0.00649659726720422,7
SLV,1988,-0.005957437755963627,,0.006992714530661113,7
SOM,1988,-0.005949431404291893,,0.008006351671734276,7
SRB,1988,-0.005937553162842176,,0.009942296560725329,7
STP,1988,-0.005926302837985723,,0.0010043521928356212,7
SUR,1988,-0.005770032777193059,,0.007496199150822724,7
SWE,1988,-0.005957437755963627,,0.008621756519016992,7
SWZ,1988,-0.005957437755963627,,0.0025972685873034717,7
SYC,1988,-0.005957437755963627,,0.0010043521928356212,7
SYR,1988,-0.005957437755963627,,0.008630570927519584,7
TCD,1988,-0.005957437755963627,,0.0033650403859384805,7
TGO,1988,-0.0059642400113153055,,0.006802255351678395,7
THA,1988,-0.005921590236999944,,0.007169503792736575,7
TLS,1988,-0.005957437755963627,,0.001742536951256238,7
TTO,1988,-0.005733670890982472,,0.006992714530661113,7
TUN,1988,-0.00606705676527789,,0.00730793395428417,6
TUR,1988,-0.0058436774489717454,,0.011376030699188138,7
TWN,1988,-0.005885091768885904,,0.0016824648157609942,7
TZA,1988,-0.005929632491630022,,0.006951316083401259,7
UGA,1988,-0.005948996245436786,,0.004220755263420377,7
URY,1988,-0.005957437755963627,,0.006992714530661113,7
USA,1988,-0.005839564143525965,,0.019645602072943715,7
VEN,1988,-0.005957437755963627,,0.007496199150822724,7
VNM,1988,-0.005925243567053655,,0.003577132101107955,7
